month,state,farmer_name,crop,produce
Jan,Bihar,0,rice,0.2931868908048719
Jan,Bihar,0,wheat,0.48741935366669153
Jan,Bihar,0,dal,0.49868031538739155
Jan,Maharashtra,0,rice,0.3004847546094705
Jan,Maharashtra,0,wheat,0.3567496776138627
Jan,Maharashtra,0,dal,0.2877103192091175
Jan,Tamil Nadu,0,rice,0.6355105279413086
Jan,Tamil Nadu,0,wheat,0.37230377037463935
Jan,Tamil Nadu,0,dal,0.13973199269310682
Jan,Rajasthan,0,rice,0.7634268016790008
Jan,Rajasthan,0,wheat,0.696305087893548
Jan,Rajasthan,0,dal,0.2686564337734236
Jan,Meghalaya,0,rice,0.6765233017268546
Jan,Meghalaya,0,wheat,0.6830870229272018
Jan,Meghalaya,0,dal,0.5874610758540427
Feb,Bihar,0,rice,0.1999744604568414
Feb,Bihar,0,wheat,0.3327878483255602
Feb,Bihar,0,dal,0.28900766097791447
Feb,Maharashtra,0,rice,0.7016743567769278
Feb,Maharashtra,0,wheat,0.5360157717338975
Feb,Maharashtra,0,dal,0.7340652512499658
Feb,Tamil Nadu,0,rice,0.8216502319275696
Feb,Tamil Nadu,0,wheat,0.266268949699398
Feb,Tamil Nadu,0,dal,0.5135518717772766
Feb,Rajasthan,0,rice,0.7815866771290605
Feb,Rajasthan,0,wheat,0.703852667324527
Feb,Rajasthan,0,dal,0.44585079508115266
Feb,Meghalaya,0,rice,0.060659317979727
Feb,Meghalaya,0,wheat,0.7716243074314518
Feb,Meghalaya,0,dal,0.42946692319690727
Mar,Bihar,0,rice,0.5280549821962113
Mar,Bihar,0,wheat,0.5070891689455527
Mar,Bihar,0,dal,0.12513714577400822
Mar,Maharashtra,0,rice,0.5863809220035999
Mar,Maharashtra,0,wheat,0.7815896282919796
Mar,Maharashtra,0,dal,0.6111779231354281
Mar,Tamil Nadu,0,rice,0.14260295865185463
Mar,Tamil Nadu,0,wheat,0.3611539691056217
Mar,Tamil Nadu,0,dal,0.3494128693159056
Mar,Rajasthan,0,rice,0.6982141399951706
Mar,Rajasthan,0,wheat,0.7102106561506984
Mar,Rajasthan,0,dal,0.5617817939253296
Mar,Meghalaya,0,rice,0.4665524569227375
Mar,Meghalaya,0,wheat,0.4299669032851251
Mar,Meghalaya,0,dal,0.3391740802262149
Apr,Bihar,0,rice,0.156852448397985
Apr,Bihar,0,wheat,0.27544394684695234
Apr,Bihar,0,dal,0.5580908233502789
Apr,Maharashtra,0,rice,0.5674732665944364
Apr,Maharashtra,0,wheat,0.4641291231294567
Apr,Maharashtra,0,dal,0.6195375417143559
Apr,Tamil Nadu,0,rice,0.3662802092952846
Apr,Tamil Nadu,0,wheat,0.7144887480821396
Apr,Tamil Nadu,0,dal,0.27558045669744696
Apr,Rajasthan,0,rice,0.31237214714092953
Apr,Rajasthan,0,wheat,0.696520492181089
Apr,Rajasthan,0,dal,0.8740718552675263
Apr,Meghalaya,0,rice,0.2830415989358861
Apr,Meghalaya,0,wheat,0.38801742025803565
Apr,Meghalaya,0,dal,0.12633765191270022
May,Bihar,0,rice,0.4380012832960373
May,Bihar,0,wheat,0.8459275072424413
May,Bihar,0,dal,0.4564427971258799
May,Maharashtra,0,rice,0.4444993035337378
May,Maharashtra,0,wheat,0.5480067047374121
May,Maharashtra,0,dal,0.5768351678425993
May,Tamil Nadu,0,rice,0.6514304954592883
May,Tamil Nadu,0,wheat,0.6053203075356334
May,Tamil Nadu,0,dal,0.3810897075373269
